strategy,p_rsi_n,p_rsi_thresh,p_stop_pct,p_target_pct,p_max_hold,IS_CAGR,IS_Sharpe,IS_MDD,IS_PF,IS_N,IS_WR,OOS_CAGR,OOS_Sharpe,OOS_MDD,OOS_PF,OOS_N,OOS_WR,p_lookback,p_vol_mult,p_ret_thresh
RSIOversold,2.0,5.0,0.07,0.07,5,-0.008605498396040745,0.006790162993009193,-0.2626665182385117,0.999058410204146,398,0.4824120603015075,0.18624716904931526,0.7557500964051976,-0.3443763243399438,1.2193416282438065,541,0.5489833641404805,,,
RSIOversold,2.0,5.0,0.07,0.07,7,-0.01506354927837339,-0.0480652425214335,-0.3390839184862372,1.002546748238936,318,0.4937106918238994,0.13031726299848057,0.6021431338211317,-0.30937001701906075,1.156561728845204,461,0.5401301518438177,,,
RSIOversold,2.0,5.0,0.07,0.1,3,-0.03898350783639948,-0.22122269186370214,-0.3727925412238553,0.8983575824743054,575,0.4573913043478261,0.02952821811824813,0.2585741270881557,-0.39883548318787443,1.0563003380091671,717,0.4839609483960948,,,
RSIOversold,2.0,5.0,0.07,0.1,5,0.007335567205712712,0.12252873343934567,-0.21882051486934084,1.0077660606461876,371,0.4716981132075472,0.14091323002794254,0.5961344437759565,-0.37807465476882196,1.1669146656134766,487,0.48459958932238195,,,
RSIOversold,2.0,5.0,0.07,0.1,7,-0.007687215321650842,0.006383192772500005,-0.28378342875208096,1.0040903413191944,282,0.46099290780141844,0.06649606876514857,0.37164047066551176,-0.3263057378384807,1.1058836799025926,397,0.473551637279597,,,
RSIOversold,2.0,10.0,0.03,0.05,3,-0.09986139647755865,-0.7024023997878507,-0.4658537930177442,0.8085503227950595,758,0.4129287598944591,0.15472654006693465,0.6603374964359946,-0.24463344475603854,1.1172428008495314,1042,0.4616122840690979,,,
RSIOversold,2.0,10.0,0.03,0.05,5,-0.0688223575120035,-0.5121148302085141,-0.3881384154779671,0.841685007488907,577,0.3968804159445407,0.10958573178111997,0.5348960110928705,-0.21431664011002982,1.102460103712095,870,0.4632183908045977,,,
RSIOversold,2.0,10.0,0.03,0.05,7,-0.06605430072519358,-0.4978845653218402,-0.36004322287181934,0.8421126357424435,496,0.3971774193548387,0.05713782826703584,0.3486173664060564,-0.24575096621101333,1.0803549341568748,802,0.4476309226932668,,,
RSIOversold,2.0,10.0,0.03,0.07,3,-0.095955629882997,-0.6856930137926873,-0.4941858527434093,0.8310174948428698,725,0.40413793103448276,0.2520838245564825,0.9462422127968352,-0.28372298802853935,1.1904884647319065,944,0.4353813559322034,,,
RSIOversold,2.0,10.0,0.03,0.07,5,-0.01914886357081258,-0.09232820285044957,-0.24879504575471456,0.9637807746922474,518,0.3938223938223938,0.25683013856301673,0.9674989461568981,-0.2411874609071888,1.2327151753064403,748,0.4264705882352941,,,
RSIOversold,2.0,10.0,0.03,0.07,7,-0.008333745361414402,-0.008959213532483523,-0.28430758993609684,0.979170717783997,441,0.3900226757369615,0.2004482377639658,0.8153149671746946,-0.2768860726319027,1.1950140798818418,668,0.4026946107784431,,,
RSIOversold,2.0,10.0,0.03,0.1,3,-0.09353078346199217,-0.6762259256902089,-0.49948756237409586,0.8240044426275843,688,0.4055232558139535,0.25943364134282487,0.9465786833447902,-0.3167875659190523,1.2128168008256448,882,0.41156462585034015,,,
RSIOversold,2.0,10.0,0.03,0.1,5,-0.030861592036135588,-0.17935936940569958,-0.2952499800559142,0.9066449665019811,482,0.3651452282157676,0.30299351989792855,1.0744165653565345,-0.28388251472137915,1.2731759180839948,662,0.3987915407854985,,,
RSIOversold,2.0,10.0,0.03,0.1,7,0.021315039143694703,0.234139225006159,-0.2336748935892129,1.0694789652967491,389,0.39331619537275064,0.21592861521590856,0.8436785887372252,-0.3086598635459479,1.2166401252022707,571,0.35376532399299476,,,
RSIOversold,2.0,10.0,0.05,0.05,3,-0.03378734398554051,-0.18513962127643946,-0.3378547495381853,0.9248079124273997,657,0.4840182648401826,-0.0033477927545156883,0.13633563921138267,-0.3755886821216601,1.0173230870011554,890,0.5044943820224719,,,
RSIOversold,2.0,10.0,0.05,0.05,5,-0.009778890231751158,-0.014312218755354565,-0.24324678792770682,0.9761501125281903,469,0.47761194029850745,0.10655035412126246,0.5110279294737871,-0.2873579966211932,1.0988898250500014,701,0.5492154065620543,,,
RSIOversold,2.0,10.0,0.05,0.05,7,0.003336589427021419,0.0902391833545038,-0.2672505824290906,1.0139819038354128,391,0.5140664961636828,0.13647770053482122,0.6139567685613352,-0.269567935527838,1.1471325752202417,609,0.555008210180624,,,
RSIOversold,2.0,10.0,0.05,0.07,3,-0.04533857691265164,-0.25877514202419266,-0.423783138028337,0.9098167221401962,633,0.4707740916271722,0.04972897413533839,0.31891206825838514,-0.30291982691152963,1.0642209451387883,827,0.4703748488512696,,,
RSIOversold,2.0,10.0,0.05,0.07,5,0.02567540277428204,0.2582388785890505,-0.23134745799400414,1.0903198549176074,426,0.4812206572769953,0.290379371405741,1.0280556867894228,-0.3076436806438676,1.257526420153629,624,0.5064102564102564,,,
RSIOversold,2.0,10.0,0.05,0.07,7,0.026013454138461567,0.27119932482456865,-0.23840633500563135,1.0676653593095502,349,0.4785100286532951,0.12846830472238158,0.5934672270391471,-0.3243275942660999,1.148523133235839,521,0.4836852207293666,,,
RSIOversold,2.0,10.0,0.05,0.1,3,-0.034708610031174536,-0.19554469078024883,-0.3772233607314939,0.9092958069786056,604,0.45364238410596025,0.05343957529980048,0.32944398743046893,-0.33386329590553154,1.071005267293781,769,0.4564369310793238,,,
RSIOversold,2.0,10.0,0.05,0.1,5,0.015477397226997036,0.18320775790929822,-0.22948196720177472,1.0457768879558789,401,0.4538653366583541,0.17665371084972104,0.698705432384957,-0.346331860952676,1.166291840689963,547,0.4570383912248629,,,
RSIOversold,2.0,10.0,0.05,0.1,7,0.01824544815151441,0.20839013863072403,-0.18683316119689752,1.0864590833660563,311,0.4758842443729904,0.10511164756575209,0.4924180699597335,-0.31667178329933154,1.1378296126801761,465,0.42795698924731185,,,
RSIOversold,2.0,10.0,0.07,0.05,3,-0.03164581478084327,-0.15384357341614532,-0.33802628902574494,0.9275111058817376,632,0.5,0.0024765200366745344,0.15824334527160985,-0.34602160988274044,1.0237387434966225,834,0.5227817745803357,,,
RSIOversold,2.0,10.0,0.07,0.05,5,-0.005937178285887357,0.018251067024108877,-0.23492626981895814,0.9979185765466072,437,0.5011441647597255,0.13572780674974183,0.6016876367212973,-0.24686531215340946,1.178333785190066,630,0.5904761904761905,,,
